NAME,year,value
"Fulton County, Georgia",2019,102.4
"Cobb County, Georgia",2019,101.1
"DeKalb County, Georgia",2019,100.8
"Gwinnett County, Georgia",2019,101.5
"Clayton County, Georgia",2019,98.7
"Cherokee County, Georgia",2019,103.2
"Forsyth County, Georgia",2019,104.1
"Henry County, Georgia",2019,99.5
"Douglas County, Georgia",2019,97.8
"Fayette County, Georgia",2019,100.2
"Fulton County, Georgia",2020,103.0
"Cobb County, Georgia",2020,101.7
"DeKalb County, Georgia",2020,101.4
"Gwinnett County, Georgia",2020,102.0
"Clayton County, Georgia",2020,99.2
"Cherokee County, Georgia",2020,103.7
"Forsyth County, Georgia",2020,104.6
"Henry County, Georgia",2020,100.1
"Douglas County, Georgia",2020,98.3
"Fayette County, Georgia",2020,100.8
"Fulton County, Georgia",2021,103.5
"Cobb County, Georgia",2021,102.2
"DeKalb County, Georgia",2021,101.9
"Gwinnett County, Georgia",2021,102.5
"Clayton County, Georgia",2021,99.7
"Cherokee County, Georgia",2021,104.2
"Forsyth County, Georgia",2021,105.1
"Henry County, Georgia",2021,100.6
"Douglas County, Georgia",2021,98.8
"Fayette County, Georgia",2021,101.3
"Fulton County, Georgia",2022,104.0
"Cobb County, Georgia",2022,102.7
"DeKalb County, Georgia",2022,102.4
"Gwinnett County, Georgia",2022,103.0
"Clayton County, Georgia",2022,100.2
"Cherokee County, Georgia",2022,104.7
"Forsyth County, Georgia",2022,105.6
"Henry County, Georgia",2022,101.1
"Douglas County, Georgia",2022,99.3
"Fayette County, Georgia",2022,101.8
"Fulton County, Georgia",2023,104.5
"Cobb County, Georgia",2023,103.2
"DeKalb County, Georgia",2023,102.9
"Gwinnett County, Georgia",2023,103.5
"Clayton County, Georgia",2023,100.7
"Cherokee County, Georgia",2023,105.2
"Forsyth County, Georgia",2023,106.1
"Henry County, Georgia",2023,101.6
"Douglas County, Georgia",2023,99.8
"Fayette County, Georgia",2023,102.3
"Fulton County, Georgia",2024,105.0
"Cobb County, Georgia",2024,103.7
"DeKalb County, Georgia",2024,103.4
"Gwinnett County, Georgia",2024,104.0
"Clayton County, Georgia",2024,101.2
"Cherokee County, Georgia",2024,105.7
"Forsyth County, Georgia",2024,106.6
"Henry County, Georgia",2024,102.1
"Douglas County, Georgia",2024,100.3
"Fayette County, Georgia",2024,102.8
