county,year,metric,value
Fulton,2019,annual_jobs,52000
Cobb,2019,annual_jobs,31000
DeKalb,2019,annual_jobs,28000
Gwinnett,2019,annual_jobs,35000
Clayton,2019,annual_jobs,15000
Cherokee,2019,annual_jobs,12000
Forsyth,2019,annual_jobs,10000
Henry,2019,annual_jobs,14000
Douglas,2019,annual_jobs,8000
Fayette,2019,annual_jobs,7000
Fulton,2020,annual_jobs,48000
Cobb,2020,annual_jobs,29000
DeKalb,2020,annual_jobs,26000
Gwinnett,2020,annual_jobs,32000
Clayton,2020,annual_jobs,14000
Cherokee,2020,annual_jobs,11000
Forsyth,2020,annual_jobs,9500
Henry,2020,annual_jobs,13000
Douglas,2020,annual_jobs,7500
Fayette,2020,annual_jobs,6500
Fulton,2021,annual_jobs,50000
Cobb,2021,annual_jobs,30000
DeKalb,2021,annual_jobs,27000
Gwinnett,2021,annual_jobs,33000
Clayton,2021,annual_jobs,14500
Cherokee,2021,annual_jobs,11500
Forsyth,2021,annual_jobs,9800
Henry,2021,annual_jobs,13500
Douglas,2021,annual_jobs,7800
Fayette,2021,annual_jobs,6700
Fulton,2022,annual_jobs,51000
Cobb,2022,annual_jobs,30500
DeKalb,2022,annual_jobs,27500
Gwinnett,2022,annual_jobs,34000
Clayton,2022,annual_jobs,14800
Cherokee,2022,annual_jobs,11800
Forsyth,2022,annual_jobs,10000
Henry,2022,annual_jobs,13800
Douglas,2022,annual_jobs,8000
Fayette,2022,annual_jobs,6800
Fulton,2023,annual_jobs,52000
Cobb,2023,annual_jobs,31000
DeKalb,2023,annual_jobs,28000
Gwinnett,2023,annual_jobs,35000
Clayton,2023,annual_jobs,15000
Cherokee,2023,annual_jobs,12000
Forsyth,2023,annual_jobs,10200
Henry,2023,annual_jobs,14000
Douglas,2023,annual_jobs,8200
Fayette,2023,annual_jobs,7000
