NAME,year,value
"Fulton County, Georgia",2019,57000
"Cobb County, Georgia",2019,53000
"DeKalb County, Georgia",2019,50000
"Gwinnett County, Georgia",2019,54000
"Clayton County, Georgia",2019,48000
"Cherokee County, Georgia",2019,58000
"Forsyth County, Georgia",2019,59000
"Henry County, Georgia",2019,52000
"Douglas County, Georgia",2019,49000
"Fayette County, Georgia",2019,53000
"Fulton County, Georgia",2020,57500
"Cobb County, Georgia",2020,53500
"DeKalb County, Georgia",2020,50200
"Gwinnett County, Georgia",2020,54500
"Clayton County, Georgia",2020,48500
"Cherokee County, Georgia",2020,58500
"Forsyth County, Georgia",2020,59500
"Henry County, Georgia",2020,52300
"Douglas County, Georgia",2020,49200
"Fayette County, Georgia",2020,53200
"Fulton County, Georgia",2021,57200
"Cobb County, Georgia",2021,53800
"DeKalb County, Georgia",2021,50400
"Gwinnett County, Georgia",2021,54700
"Clayton County, Georgia",2021,48700
"Cherokee County, Georgia",2021,58800
"Forsyth County, Georgia",2021,59800
"Henry County, Georgia",2021,52500
"Douglas County, Georgia",2021,49500
"Fayette County, Georgia",2021,53400
"Fulton County, Georgia",2022,57800
"Cobb County, Georgia",2022,54000
"DeKalb County, Georgia",2022,50700
"Gwinnett County, Georgia",2022,55000
"Clayton County, Georgia",2022,49000
"Cherokee County, Georgia",2022,59000
"Forsyth County, Georgia",2022,60000
"Henry County, Georgia",2022,52700
"Douglas County, Georgia",2022,49700
"Fayette County, Georgia",2022,53600
"Fulton County, Georgia",2023,58300
"Cobb County, Georgia",2023,54500
"DeKalb County, Georgia",2023,51000
"Gwinnett County, Georgia",2023,55500
"Clayton County, Georgia",2023,49200
"Cherokee County, Georgia",2023,59300
"Forsyth County, Georgia",2023,60500
"Henry County, Georgia",2023,53000
"Douglas County, Georgia",2023,50000
"Fayette County, Georgia",2023,53900
"Fulton County, Georgia",2024,58800
"Cobb County, Georgia",2024,54800
"DeKalb County, Georgia",2024,51200
"Gwinnett County, Georgia",2024,55800
"Clayton County, Georgia",2024,49500
"Cherokee County, Georgia",2024,59600
"Forsyth County, Georgia",2024,61000
"Henry County, Georgia",2024,53300
"Douglas County, Georgia",2024,50300
"Fayette County, Georgia",2024,54200
