NAME,year,value
"Fulton County, Georgia",2019,4.3
"Cobb County, Georgia",2019,3.8
"DeKalb County, Georgia",2019,4.7
"Gwinnett County, Georgia",2019,3.9
"Clayton County, Georgia",2019,5.1
"Cherokee County, Georgia",2019,3.2
"Forsyth County, Georgia",2019,2.9
"Henry County, Georgia",2019,3.5
"Douglas County, Georgia",2019,4.0
"Fayette County, Georgia",2019,3.3
"Fulton County, Georgia",2020,7.5
"Cobb County, Georgia",2020,6.8
"DeKalb County, Georgia",2020,8.0
"Gwinnett County, Georgia",2020,6.5
"Clayton County, Georgia",2020,8.2
"Cherokee County, Georgia",2020,5.5
"Forsyth County, Georgia",2020,4.9
"Henry County, Georgia",2020,6.0
"Douglas County, Georgia",2020,6.8
"Fayette County, Georgia",2020,5.4
"Fulton County, Georgia",2021,6.2
"Cobb County, Georgia",2021,5.5
"DeKalb County, Georgia",2021,6.8
"Gwinnett County, Georgia",2021,5.3
"Clayton County, Georgia",2021,7.0
"Cherokee County, Georgia",2021,4.3
"Forsyth County, Georgia",2021,3.9
"Henry County, Georgia",2021,5.0
"Douglas County, Georgia",2021,5.7
"Fayette County, Georgia",2021,4.8
"Fulton County, Georgia",2022,4.8
"Cobb County, Georgia",2022,4.2
"DeKalb County, Georgia",2022,5.3
"Gwinnett County, Georgia",2022,4.1
"Clayton County, Georgia",2022,5.5
"Cherokee County, Georgia",2022,3.8
"Forsyth County, Georgia",2022,3.5
"Henry County, Georgia",2022,4.1
"Douglas County, Georgia",2022,4.5
"Fayette County, Georgia",2022,3.9
"Fulton County, Georgia",2023,4.2
"Cobb County, Georgia",2023,3.7
"DeKalb County, Georgia",2023,4.7
"Gwinnett County, Georgia",2023,3.6
"Clayton County, Georgia",2023,4.9
"Cherokee County, Georgia",2023,3.4
"Forsyth County, Georgia",2023,3.2
"Henry County, Georgia",2023,3.8
"Douglas County, Georgia",2023,4.0
"Fayette County, Georgia",2023,3.5
"Fulton County, Georgia",2024,3.9
"Cobb County, Georgia",2024,3.4
"DeKalb County, Georgia",2024,4.3
"Gwinnett County, Georgia",2024,3.3
"Clayton County, Georgia",2024,4.6
"Cherokee County, Georgia",2024,3.1
"Forsyth County, Georgia",2024,2.9
"Henry County, Georgia",2024,3.5
"Douglas County, Georgia",2024,3.8
"Fayette County, Georgia",2024,3.2
